username,review,casefolding,preprocessed_text,score,at,appversion
Ferian Rahmulia Channel,sangat luarbiasa karena menambah motifasi untuk terus beraktifitas sehat,sangat luarbiasa karena menambah motifasi untuk terus beraktifitas sehat,luarbiasa tambah motifasi beraktifitas sehat,5,2025-06-13 08:18:01,415.14
Malton Sagala,luar biasa!!!,luar biasa!!!,,5,2025-06-13 08:07:22,413.8
Andre Rekasana,sangat bermanfaat bagi yang gemar berolahraga,sangat bermanfaat bagi yang gemar berolahraga,manfaat gemar olahraga,5,2025-06-13 07:59:54,407.1
Mr Maryata,aplikasi ini seru dan fiturnya canggih..bikin makin semangat berolahraga.,aplikasi ini seru dan fiturnya canggih..bikin makin semangat berolahraga.,aplikasi seru fiturnya canggihbikin semangat olahraga,5,2025-06-13 07:52:05,415.14
endah lala,kerenn,kerenn,kerenn,5,2025-06-13 07:38:16,415.14
Arju Maulana,mantap aplikasinya,mantap aplikasinya,mantap aplikasi,5,2025-06-13 07:25:46,415.14
Pwd Wandri,"bagus, aplikasi ringan dan cukup akurat","bagus, aplikasi ringan dan cukup akurat",bagus aplikasi ringan akurat,5,2025-06-13 07:22:08,414.8
Musa Asaduddin Wahid,ga bisa login,ga bisa login,ga login,1,2025-06-13 06:06:15,415.14
Floriana Ninnesa,"tidak bisa bergabung, aplikasi error","tidak bisa bergabung, aplikasi error",gabung aplikasi error,1,2025-06-12 23:02:43,415.14
bara setiyawan,bagus,bagus,bagus,5,2025-06-12 20:04:23,409.9
Davino Pratama,bagus,bagus,bagus,5,2025-06-12 16:14:53,414.8
Adam Alfandy,debest apk for everything sport,debest apk for everything sport,debest apk for everything sport,5,2025-06-12 08:13:33,411.1
Sukri Flas,sangat membantu dalam setiap aktivitas olahraga,sangat membantu dalam setiap aktivitas olahraga,bantu aktivitas olahraga,5,2025-06-12 08:12:46,
mikhail haikal,sangat membantu progres latihan kita,sangat membantu progres latihan kita,bantu progres latih,5,2025-06-12 07:46:45,414.8
Saeful Rohman,overall semua bagus cuma berlangganan nya mahal,overall semua bagus cuma berlangganan nya mahal,overall bagus langgan nya mahal,5,2025-06-12 07:29:19,415.14
Sense,Bagus 👍,bagus 👍,bagus,4,2025-06-12 06:52:28,414.8
Aduh Sekali,kecewa karena pace tidak kelihatan saat dishare padahal udah disetting sedemikian rupa tolong perbaiki masalah ini,kecewa karena pace tidak kelihatan saat dishare padahal udah disetting sedemikian rupa tolong perbaiki masalah ini,kecewa pace dishare udah disetting rupa tolong baik,3,2025-06-12 06:11:25,
yandri widjaya,baik dalam memonitor jalan sehat,baik dalam memonitor jalan sehat,monitor jalan sehat,5,2025-06-12 05:57:42,415.14
Rexi Rahmat Wicaksana,"aneh aplikasinya tiba"" engga bisa login lagi","aneh aplikasinya tiba"" engga bisa login lagi",aneh aplikasi engga login,2,2025-06-12 01:56:30,
Arif Rahmanto,"bagaimana cara mengembalikan refund dana uang yang tidak paham dan gak sadar klo ada opsi langganan strava selama setaun? padahal sebelumnya hanya ingin percobaan langganan sebulan, tolong dong gimana ini? 🙏🏻🥺","bagaimana cara mengembalikan refund dana uang yang tidak paham dan gak sadar klo ada opsi langganan strava selama setaun? padahal sebelumnya hanya ingin percobaan langganan sebulan, tolong dong gimana ini? 🙏🏻🥺",kembali refund dana uang paham gak sadar klo opsi langgan strava taun coba langgan bulan tolong gimana,1,2025-06-11 20:08:13,
Nabil Rafiah,susah masuk aplikasi,susah masuk aplikasi,susah masuk aplikasi,1,2025-06-11 20:06:43,
Joy Boy4,"bagus cuman kenapa jam tangan ku merek PEJE Enda bisa menghubung ke aplikasi strava padahal dulu bisa kenapa sekarang Enda bisa?,tolong tambahin PEJE ke strava agar saya bisa lanjutin running saya","bagus cuman kenapa jam tangan ku merek peje enda bisa menghubung ke aplikasi strava padahal dulu bisa kenapa sekarang enda bisa?,tolong tambahin peje ke strava agar saya bisa lanjutin running saya",bagus cuman jam tangan ku merek peje enda hubung aplikasi strava enda bisatolong tambahin peje strava lanjutin running,5,2025-06-11 18:53:47,414.8
Al nasir,apk nya bagus cuma ko pas selesai rekam server strava nya error yaa,apk nya bagus cuma ko pas selesai rekam server strava nya error yaa,apk nya bagus ko pas selesai rekam server strava nya error yaa,5,2025-06-11 18:15:47,
Maya Aja,kok punyaku ga bisa di unduh ya,kok punyaku ga bisa di unduh ya,punya ga unduh ya,5,2025-06-11 13:30:40,414.8
Faqih Hasbi albana,kok ga bisa login ya gara gara server nya,kok ga bisa login ya gara gara server nya,ga login ya gara gara server nya,2,2025-06-11 12:50:35,
Tri Suyono,mantab,mantab,mantab,5,2025-06-11 08:18:26,413.1
Rusdi Yudha,mantap,mantap,mantap,5,2025-06-11 07:47:31,414.8
ayub w putro,snagat bermamfaat untuk menentukan target bersepeda,snagat bermamfaat untuk menentukan target bersepeda,snagat bermamfaat tentu target sepeda,5,2025-06-11 07:42:43,414.8
Muhamad Kaizenta,Great!!,great!!,great,5,2025-06-11 07:31:07,414.8
Adinda Maulida,ga bisaa masukk nyaaa,ga bisaa masukk nyaaa,ga bisaa masukk nyaaa,3,2025-06-11 07:08:48,
Nafa Pratama,"jgn pake apk ini klo gamau hasil lari kalian kurang dari prediksi, mending beli jam running aja sekalian, update trs gada perubahan, Saya udh ngalamin sndiri soalnya, akurat nya cmn pas lari di stadion doang","jgn pake apk ini klo gamau hasil lari kalian kurang dari prediksi, mending beli jam running aja sekalian, update trs gada perubahan, saya udh ngalamin sndiri soalnya, akurat nya cmn pas lari di stadion doang",jgn pake apk klo gamau hasil lari prediksi mending beli jam running aja update trs gada ubah udh ngalamin sndiri akurat nya cmn pas lari stadion doang,1,2025-06-11 06:48:20,414.8
DESORDEN,Masih Banyak Bug nya File gk bisa Di downloadlah Gps error lah Tolong Diperbaiki lagi min,masih banyak bug nya file gk bisa di downloadlah gps error lah tolong diperbaiki lagi min,bug nya file gk downloadlah gps error tolong baik min,3,2025-06-10 22:50:21,
Damar Sanjaya,Bagus,bagus,bagus,5,2025-06-10 22:01:11,414.8
Siska Lia,"aku udah pakai apk ini setengah tahun dan hasilnya bagus untuk aplikasinya, tapi belakangan ini sampai sekarang aku ga bisa masuk ke aplikasinya katanya ada gangguan server aku udah coba masukin akun ku terus tetap engga bisa masuk, semoga masalah server ini cepat selesai lah karna aku masih butuh aplikasi ini buat progres","aku udah pakai apk ini setengah tahun dan hasilnya bagus untuk aplikasinya, tapi belakangan ini sampai sekarang aku ga bisa masuk ke aplikasinya katanya ada gangguan server aku udah coba masukin akun ku terus tetap engga bisa masuk, semoga masalah server ini cepat selesai lah karna aku masih butuh aplikasi ini buat progres",udah pakai apk hasil bagus aplikasi ga masuk aplikasi ganggu server udah coba masukin akun ku engga masuk moga server cepat selesai karna butuh aplikasi progres,5,2025-06-10 21:25:45,
Yahya Pratama,pace ga sesuai+rute acak acakan,pace ga sesuai+rute acak acakan,pace ga sesuairute acak acak,1,2025-06-10 20:52:25,414.8
Akun buat nonton,bisa2 nya ga ke record. kecewa bgt padahal sedang ikut lomba,bisa2 nya ga ke record. kecewa bgt padahal sedang ikut lomba,nya ga record kecewa bgt lomba,1,2025-06-10 20:11:37,414.8
Lilik Jarwati,aplikasi nya bagus banget untuk di pakai untuk lari atau sepedaan,aplikasi nya bagus banget untuk di pakai untuk lari atau sepedaan,aplikasi nya bagus banget pakai lari sepeda,5,2025-06-10 17:52:28,
Gunawan Wibisono,"cara mengembalikan aktivitas strava yang ke hapus gimana nih,kok kolom nya udah hilang","cara mengembalikan aktivitas strava yang ke hapus gimana nih,kok kolom nya udah hilang",kembali aktivitas strava hapus gimana nihkok kolom nya udah hilang,4,2025-06-10 17:17:29,414.8
Alip,"saya tidak bisa memasuki atau log in aplikasi ini entah salah server atau bug,saya tidak tahu😓","saya tidak bisa memasuki atau log in aplikasi ini entah salah server atau bug,saya tidak tahu😓",pasuk log in aplikasi salah server bugsaya,2,2025-06-10 12:53:42,
vera napit,bagus,bagus,bagus,5,2025-06-10 08:52:14,414.8
Ady Sudjatmiko,ya minta dilengkapi sama detak jantung..biar strava makin jos banyak peminatnya,ya minta dilengkapi sama detak jantung..biar strava makin jos banyak peminatnya,ya lengkap detak jantungbiar strava jos minat,5,2025-06-10 08:43:23,414.8
Ahmad Hizam,"bagi Admin nya tolong di perbaiki, ini saya sudah dowload kok tiba² tidak bisa login malah keluar tulisan gagal masuk. tolong min di perbaiki banyak bug di aplikasi ini","bagi admin nya tolong di perbaiki, ini saya sudah dowload kok tiba² tidak bisa login malah keluar tulisan gagal masuk. tolong min di perbaiki banyak bug di aplikasi ini",admin nya tolong baik dowload login tulis gagal masuk tolong min baik bug aplikasi,1,2025-06-10 08:16:15,
Atik Riyana,ga bisa di pake aplikasi nya terjadi kesalahan trs,ga bisa di pake aplikasi nya terjadi kesalahan trs,ga pake aplikasi nya salah trs,1,2025-06-10 08:12:02,414.8
Ilham Rezky123,aplikasi sangat berguna untuk olahraga dan sangat akurat,aplikasi sangat berguna untuk olahraga dan sangat akurat,aplikasi guna olahraga akurat,5,2025-06-10 07:26:23,
Melinda Agus,akurat,akurat,akurat,5,2025-06-10 07:25:28,414.8
ZUL Kifli,kadang nge bug gps nya,kadang nge bug gps nya,kadang nge bug gps nya,3,2025-06-10 06:26:16,414.8
Aninda Nova,untuk admin apk tolong dong di perbaiki masa saya baru download tapi GK bisa login pasti ada kesalahan trs aja gitu kalo mau login saya dh 2x download tapi masih tetep sama aja,untuk admin apk tolong dong di perbaiki masa saya baru download tapi gk bisa login pasti ada kesalahan trs aja gitu kalo mau login saya dh 2x download tapi masih tetep sama aja,admin apk tolong baik download gk login salah trs aja gitu kalo login dh x download tetep aja,1,2025-06-10 05:42:05,414.8
Novelia Tyas,gatau knapa 3x download bermasalah trus ga .daftar berkali2 tpi tetep ada masalah coba lagi tapi ya tetep sama . kemaren sore udah loh in bisa pagi mau di pakek ga bisa lgi .entah lah capek,gatau knapa 3x download bermasalah trus ga .daftar berkali2 tpi tetep ada masalah coba lagi tapi ya tetep sama . kemaren sore udah loh in bisa pagi mau di pakek ga bisa lgi .entah lah capek,gatau knapa x download masalah trus ga daftar kali tpi tetep coba ya tetep kemaren sore udah loh in pagi pakek ga lgi capek,2,2025-06-10 05:04:11,
M Naufal,Bagaimana cara mengatasi foto aktifitas buram yang sudah di unduh di strava?,bagaimana cara mengatasi foto aktifitas buram yang sudah di unduh di strava?,atas foto aktifitas buram unduh strava,3,2025-06-09 23:05:36,414.8
Khanza khenzie ALULA ABERCIO,aplikasi ini sangat bagus untuk aku latihan lari setiap taekwondo,aplikasi ini sangat bagus untuk aku latihan lari setiap taekwondo,aplikasi bagus latih lari taekwondo,5,2025-06-09 16:42:33,
Ahmad Muniri,Kenapa story larinya ga bisa di unduh gagal terus yah? serius nanya min!!,kenapa story larinya ga bisa di unduh gagal terus yah? serius nanya min!!,story lari ga unduh gagal yah serius nanya min,1,2025-06-09 15:14:52,414.8
Giyono gik,sangat membantu untuk melihat progres lari dan olahraga lainnya,sangat membantu untuk melihat progres lari dan olahraga lainnya,bantu progres lari olahraga,5,2025-06-09 14:51:53,414.8
Adhigana Romzi Prawira,"Sering eror. terkadang ketika saya menggunakan wifi tidak bisa login, berbanding terbalik ketika menggunakan paket data","sering eror. terkadang ketika saya menggunakan wifi tidak bisa login, berbanding terbalik ketika menggunakan paket data",eror terkadang wifi login banding balik paket data,3,2025-06-09 14:28:57,304.1
Nasrum Nasrum,bagus dan terpercaya,bagus dan terpercaya,bagus percaya,5,2025-06-09 12:04:07,
Nazzz Fa17,"apk nya aneh sya lri kmna peta starava nya mh kmna, padahal sya punya kuota","apk nya aneh sya lri kmna peta starava nya mh kmna, padahal sya punya kuota",apk nya aneh sya lri kmna peta starava nya mh kmna sya kuota,1,2025-06-09 11:15:12,414.8
BENDRIYADI “Syahdu Askan Sakhi”,mantap,mantap,mantap,5,2025-06-09 08:52:30,414.8
Ihsan Ahmad T.,good apk,good apk,good apk,5,2025-06-09 08:14:53,414.8
Laurentcius,good,good,good,5,2025-06-09 07:59:09,414.8
fakhri dwi,keren,keren,keren,5,2025-06-09 07:42:37,414.8
bogeng agum,aplikasi ngga jelas masa iya udah lari 2km baru ke catet beberapa meter doang kadang bener kadang ngga tolong di perbaiki lah ngga becus banget kalo bikin aplikasi,aplikasi ngga jelas masa iya udah lari 2km baru ke catet beberapa meter doang kadang bener kadang ngga tolong di perbaiki lah ngga becus banget kalo bikin aplikasi,aplikasi ngga iya udah lari km catet meter doang kadang bener kadang ngga tolong baik ngga becus banget kalo bikin aplikasi,1,2025-06-09 05:51:23,413.8
Andika,"kok server error saat login, tolong di fiks dongg","kok server error saat login, tolong di fiks dongg",server error login tolong fiks dongg,1,2025-06-08 22:12:33,414.8
Rofi Ansyah,gbsa daftar,gbsa daftar,gbsa daftar,1,2025-06-08 22:10:42,414.8
Felia,"mohon maaf,saya ijin bertanya ini kenapa strava saya dipakai tidak bisa ya,kemarin tiba tiba disuruh login lagi itu kita kira gimna yaa","mohon maaf,saya ijin bertanya ini kenapa strava saya dipakai tidak bisa ya,kemarin tiba tiba disuruh login lagi itu kita kira gimna yaa",mohon maafsaya ijin strava pakai yakemarin suruh login gimna yaa,4,2025-06-08 20:42:34,
Abi,aakurat banget ngitung nya cok owtit juga ini apk,aakurat banget ngitung nya cok owtit juga ini apk,aakurat banget ngitung nya cok owtit apk,5,2025-06-08 19:33:41,
Yordan Army Diorghi,"udh bagus sebenarnya cuman ga tau kenapa akhir² ini GPS nya error mulu ga sesuai,pace nya juga kadang ngawur,","udh bagus sebenarnya cuman ga tau kenapa akhir² ini gps nya error mulu ga sesuai,pace nya juga kadang ngawur,",udh bagus cuman ga tau gps nya error mulu ga sesuaipace nya kadang ngawur,2,2025-06-08 16:32:18,414.8
Dony Muhamad,good,good,good,5,2025-06-08 13:45:39,414.8
Zaki Fajar Rokhmah,Seru!,seru!,seru,5,2025-06-08 10:19:42,311.1
azriel,ga bisa masuk,ga bisa masuk,ga masuk,1,2025-06-08 08:09:19,414.8
Hari Raharjo,keren,keren,keren,5,2025-06-08 07:46:44,414.8
Alfatih Novandra,mantap,mantap,mantap,5,2025-06-08 07:41:43,414.8
H4 DI,"mantabs ,,,","mantabs ,,,",mantabs,5,2025-06-08 07:33:32,414.8
Mochamad Odi M.P,Makasih dikasih strava premium nya,makasih dikasih strava premium nya,makasih kasih strava premium nya,5,2025-06-08 07:28:19,413.8
Faisal Roza,aplikasi yang sangat bermanfaat dan mendukung aktivitas olahraga,aplikasi yang sangat bermanfaat dan mendukung aktivitas olahraga,aplikasi manfaat dukung aktivitas olahraga,5,2025-06-08 07:23:59,413.1
Zun Ho,nice devlop,nice devlop,nice devlop,5,2025-06-08 07:14:09,414.8
Rahmad Dhany Zulfa,"jangn download , bagusan aplikasi sebelah,, starava gk sebagus dlu","jangn download , bagusan aplikasi sebelah,, starava gk sebagus dlu",jangn download bagus aplikasi belah starava gk bagus dlu,1,2025-06-08 06:36:12,
Kenzodaffa007 Kenzo,punya saya strava nya gak bisa di stop jadi nya kalo sepedaan itu jadinya gak kerekam AVG nya mohon di perbaiki,punya saya strava nya gak bisa di stop jadi nya kalo sepedaan itu jadinya gak kerekam avg nya mohon di perbaiki,strava nya gak stop nya kalo sepeda gak rekam avg nya mohon baik,3,2025-06-08 05:56:20,414.8
Marchel Rangga,"halo min, kenapa akun strava saya tiba-tiba log out? setelah saya ingin masukan kembali, terdapat pernyataan ""server mengalami masalah""","halo min, kenapa akun strava saya tiba-tiba log out? setelah saya ingin masukan kembali, terdapat pernyataan ""server mengalami masalah""",halo min akun strava tibatiba log out masuk nyata server alami,2,2025-06-07 15:37:23,414.8
Sultan Yoga,Map dan pace sering bug,map dan pace sering bug,map pace bug,3,2025-06-07 14:08:05,
Yudha Satria,bagus,bagus,bagus,5,2025-06-07 08:59:34,413.8
alfa_ raby,SANGATTTT BAGUSSSS,sangatttt bagussss,sangatttt bagussss,5,2025-06-07 07:41:42,414.8
Selvy Rosmawanti,best aplikasi ❤️,best aplikasi ❤️,best aplikasi,5,2025-06-07 07:24:47,
emirza izackson,aplikasi kesehatan yang membantu sekali,aplikasi kesehatan yang membantu sekali,aplikasi sehat bantu,5,2025-06-07 07:18:36,414.8
Gina Rosiana,gapernah mijit berlanganan tiba tiba saldo ketarik 600rb mna udh 3hari udh ajuin pengembalian blm di acc😭,gapernah mijit berlanganan tiba tiba saldo ketarik 600rb mna udh 3hari udh ajuin pengembalian blm di acc😭,gapernah mijit berlanganan saldo tarik rb mna udh udh ajuin kembali blm acc,1,2025-06-07 04:12:13,
MHD RUDI,bagus,bagus,bagus,5,2025-06-06 19:20:06,414.8
nayzila xyz,"pas mau daftar sering erorr, kenapa ya","pas mau daftar sering erorr, kenapa ya",pas daftar erorr ya,1,2025-06-06 16:00:22,414.8
Rendra Parera,cara pace 3 gmn min,cara pace 3 gmn min,pace gmn min,5,2025-06-05 19:30:26,413.1
Frederic Agung,knp pace nya tidak sesuai. saya sudah berjalan sejauh 7km dgn harapa pace 14. kok yg kecatat pace 9 ya?? aneh banget. baru developer ga pernah FIX bugnya ANEH,knp pace nya tidak sesuai. saya sudah berjalan sejauh 7km dgn harapa pace 14. kok yg kecatat pace 9 ya?? aneh banget. baru developer ga pernah fix bugnya aneh,knp pace nya sesuai jalan km dgn harapa pace yg catat pace ya aneh banget developer ga fix bugnya aneh,1,2025-06-05 17:02:06,414.8
Gema Bgr,MANTAF,mantaf,mantaf,5,2025-06-05 15:24:22,414.8
Wiji Ahm,saya bisa meninjau aktifitas olahraga yang saya lakukan. bagus,saya bisa meninjau aktifitas olahraga yang saya lakukan. bagus,tinjau aktifitas olahraga laku bagus,5,2025-06-05 08:43:22,413.8
Kadek Junandi,"kok sekarang gk bisa bunyi audio start, finish atau perkilometernya ya..","kok sekarang gk bisa bunyi audio start, finish atau perkilometernya ya..",gk bunyi audio start finish kilometer ya,3,2025-06-05 07:23:34,413.1
Galang Reyvhan Ramadhan,Bug pas login minn... tolong untuk kedepannya jangan bug pas log in pakai akun google & facebook pun gak bisa... tolong segera diperbaiki lagi 🙏🏻🙏🏻,bug pas login minn... tolong untuk kedepannya jangan bug pas log in pakai akun google & facebook pun gak bisa... tolong segera diperbaiki lagi 🙏🏻🙏🏻,bug pas login minn tolong depan bug pas log in pakai akun google facebook gak tolong baik,1,2025-06-05 05:03:31,414.8
Satria Biasa,good,good,good,5,2025-06-04 11:34:53,414.8
Muhammad Nur Rasyid,baguss,baguss,baguss,5,2025-06-04 08:31:59,413.1
Rifki Rama wijaya,minta tolong dikembalikan uwang saya tiba tertarik otomatis ke akun DANA sya senileii Rp. 609.390 mungkin ndk sengaja kepencek fiturnya minta tolong dikembalikan🙏🙏🙏🙏🙏,minta tolong dikembalikan uwang saya tiba tertarik otomatis ke akun dana sya senileii rp. 609.390 mungkin ndk sengaja kepencek fiturnya minta tolong dikembalikan🙏🙏🙏🙏🙏,tolong kembali uwang tarik otomatis akun dana sya senileii rp ndk sengaja cek fiturnya tolong kembali,5,2025-06-04 08:17:53,
EvHKraken (Dandi Gunawan),nice,nice,nice,5,2025-06-04 06:19:21,
ADITYA ANUGRAH,kenapa satrva saya tidak bisa bagikan aktivitas min? tapi kalo yang dulu bisa kasih saran dong klo pengen ke bagikan aktivitas malahan ada tulisan bagikan via itu gimana ya terimakasih,kenapa satrva saya tidak bisa bagikan aktivitas min? tapi kalo yang dulu bisa kasih saran dong klo pengen ke bagikan aktivitas malahan ada tulisan bagikan via itu gimana ya terimakasih,satrva bagi aktivitas min kalo kasih saran klo ken bagi aktivitas tulis bagi via gimana ya terimakasih,1,2025-06-03 22:46:59,413.8
Kepin Channel,pakai huawei watch disinkronkan ke strava hasil pace dll nya ngawur. jadi tambah banyak dan gak sesuai aslinya. semoga diperbaiki terimakasih.,pakai huawei watch disinkronkan ke strava hasil pace dll nya ngawur. jadi tambah banyak dan gak sesuai aslinya. semoga diperbaiki terimakasih.,pakai huawei watch sinkron strava hasil pace dll nya ngawur gak sesuai asli moga baik terimakasih,3,2025-06-03 22:02:09,
Ridho Putra Al-azis,Gabisa login padahal sinyal stabil tolong diperbaiki,gabisa login padahal sinyal stabil tolong diperbaiki,gabisa login sinyal stabil tolong baik,1,2025-06-03 17:09:31,413.8
FarkZziimov YK,"payah euy cuma bisa dipakai seminggu,setelah seminggu GPS ngaco,loncat loncat ga jelas","payah euy cuma bisa dipakai seminggu,setelah seminggu gps ngaco,loncat loncat ga jelas",payah euy pakai seminggusetelah minggu gps ngacoloncat loncat ga,2,2025-06-03 10:45:13,413.8
A S,sangat bagus,sangat bagus,bagus,5,2025-06-03 08:05:56,413.8
biasawe pareasi,tolong diperbaiki yah soalnya sering banget jarak sama pacr nya g sesuai,tolong diperbaiki yah soalnya sering banget jarak sama pacr nya g sesuai,tolong baik yah banget jarak pacr nya g sesuai,3,2025-06-03 07:37:38,
Sebastian Aleksander,"buat admin apk ini tolong dong perbaiki bug Pace ya di hp android tidak akurat saya lari Pace 6 malah di bikin ya Pace 4, ini mah tolong kepada yang berpihak dalam aplikasi strava perbaiki bug itu dong, biar yang lari pake android tau Pace aslinya dan itu sangat penting, kalau udah di perbaiki akan saya kasih rating 5🙏","buat admin apk ini tolong dong perbaiki bug pace ya di hp android tidak akurat saya lari pace 6 malah di bikin ya pace 4, ini mah tolong kepada yang berpihak dalam aplikasi strava perbaiki bug itu dong, biar yang lari pake android tau pace aslinya dan itu sangat penting, kalau udah di perbaiki akan saya kasih rating 5🙏",admin apk tolong baik bug pace ya hp android akurat lari pace bikin ya pace mah tolong pihak aplikasi strava baik bug biar lari pake android tau pace asli udah baik kasih rating,1,2025-06-02 22:30:58,413.8
Iswarti Kentik,cocok untuk olah raga,cocok untuk olah raga,cocok olah raga,5,2025-06-02 20:13:50,
DerichBmaSatria,aplikasi paling gacorr,aplikasi paling gacorr,aplikasi gacorr,5,2025-06-02 19:43:55,
Rahmawati wahyu Nisak,"aplikasinya tiba tiba tidak bisa di buka,lalu lag saat melakukan aktivitas dan ini sering terjadi","aplikasinya tiba tiba tidak bisa di buka,lalu lag saat melakukan aktivitas dan ini sering terjadi",aplikasi bukalalu lag aktivitas,2,2025-06-02 16:02:55,413.8
Duta Arya Wiguna,bagus nih,bagus nih,bagus nih,5,2025-06-02 08:55:38,
Billy Mahardika,keren. membantu semangat hidup lebih sehat,keren. membantu semangat hidup lebih sehat,keren bantu semangat hidup sehat,5,2025-06-02 08:12:52,413.8
andika Andreww,"mantap sebelum punya jam pake apk ini buat lari, tapi ribet banget lari sambil bawa hp kwkwkw. strava kerennn 🤙🤙","mantap sebelum punya jam pake apk ini buat lari, tapi ribet banget lari sambil bawa hp kwkwkw. strava kerennn 🤙🤙",mantap jam pake apk lari ribet banget lari bawa hp kwkwkw strava kerennn,5,2025-06-02 07:40:26,413.8
Mas Revaldi,gabisa background transparan,gabisa background transparan,gabisa background transparan,1,2025-06-01 19:55:39,413.8
Bayu U,"gak bisa login, suruh ngulang teruss gak guna bngt dah kocak","gak bisa login, suruh ngulang teruss gak guna bngt dah kocak",gak login suruh ngulang teruss gak bngt dah kocak,1,2025-06-01 18:19:26,413.8
Machwell Seirn,keren dah moga udah update ga error' lagi ni starava gwe mntp min🤗🤗,keren dah moga udah update ga error' lagi ni starava gwe mntp min🤗🤗,keren dah moga udah update ga error ni starava gwe mntp min,4,2025-06-01 14:42:38,412.15
bedjo,"challenge strava bulan mei sudah selesai, tapi masih muncul di menu challenge, kepencet joined jadi hilang challengenya dipencet challenge lagi sudah gak bisa. asem.. sia2 GF bulan mei.","challenge strava bulan mei sudah selesai, tapi masih muncul di menu challenge, kepencet joined jadi hilang challengenya dipencet challenge lagi sudah gak bisa. asem.. sia2 gf bulan mei.",challenge strava mei selesai muncul menu challenge pencet joined hilang challengenya pencet challenge gak asem sia gf mei,1,2025-06-01 11:47:46,361.12
Regan Udin,Aplikasi terbagus untuk Mengukur Statistik lari Kita,aplikasi terbagus untuk mengukur statistik lari kita,aplikasi bagus ukur statistik lari,5,2025-06-01 09:09:32,411.1
wika fitriasari,"suka lag,lari Pace 6 jadi Pace 12 unik,lari 6 km jadi 2 km gila","suka lag,lari pace 6 jadi pace 12 unik,lari 6 km jadi 2 km gila",suka laglari pace pace uniklari km km gila,4,2025-06-01 08:50:05,409.9
Cipto comal,"sering terjadi masalah, aplikasi dibuka nggak bisa","sering terjadi masalah, aplikasi dibuka nggak bisa",aplikasi buka nggak,1,2025-06-01 08:48:11,413.8
elija fikri,mantap,mantap,mantap,5,2025-06-01 07:54:59,413.8
Febri Aditya,suka loncat2 lokasinya,suka loncat2 lokasinya,suka loncat lokasi,4,2025-05-31 23:28:15,413.8
Nade,sering gagal masuk ke strava dengan alasan server strava error,sering gagal masuk ke strava dengan alasan server strava error,gagal masuk strava alas server strava error,1,2025-05-31 21:17:50,
daus gace,lagi lagi bug,lagi lagi bug,bug,2,2025-05-31 17:43:11,413.8
Novi Wahyu Rahman,ok,ok,ok,5,2025-05-31 17:26:08,412.15
Fathan alfarizi,aneh gak bisa login bilang nya masalah jaringan pada hal udah pake wifi,aneh gak bisa login bilang nya masalah jaringan pada hal udah pake wifi,aneh gak login bilang nya jaring udah pake wifi,1,2025-05-31 17:11:28,
Radical syahwa,sering eror,sering eror,eror,1,2025-05-31 15:49:55,
Ratu Alam,sangat informatif,sangat informatif,informatif,5,2025-05-31 11:45:10,413.8
Ady Rihi Hau,tolong min sebelum update sekitaran bulan Januari atau bukan februari GPS nya aman ngak zig zag tapi setelah di update sampe sekarang udah zig-zag sampe sekarang tolong min di perbaiki supaya kalo kita mau lari itu terukur 🙏🙏 semoga di perbaiki 🙏,tolong min sebelum update sekitaran bulan januari atau bukan februari gps nya aman ngak zig zag tapi setelah di update sampe sekarang udah zig-zag sampe sekarang tolong min di perbaiki supaya kalo kita mau lari itu terukur 🙏🙏 semoga di perbaiki 🙏,tolong min update sekitar januari februari gps nya aman ngak zig zag update sampe udah zigzag sampe tolong min baik kalo lari ukur moga baik,2,2025-05-31 10:10:22,
Muh Farid Athallah,"Please add a feature to cut in the middle of an activity, because errors often occur in the middle of an activity being carried out","please add a feature to cut in the middle of an activity, because errors often occur in the middle of an activity being carried out",please add a feature to cut in the middle of an activity because errors often occur in the middle of an activity being carried out,4,2025-05-31 08:25:27,413.8
Ahmad Junaidi,jooooosss,jooooosss,jooooosss,5,2025-05-31 08:07:23,413.8
ERENST REV,great apps,great apps,great apps,5,2025-05-31 08:01:58,413.8
Takashi Mitsuoka,why you keep lowering my average speed you moroonn ??!!!,why you keep lowering my average speed you moroonn ??!!!,why you keep lowering my average speed you moroonn,2,2025-05-31 07:58:25,413.8
fikar chan,👍👍👍,👍👍👍,,5,2025-05-31 07:36:40,
Affanin Zahra,siiip,siiip,siiip,5,2025-05-31 07:21:01,413.8
Muriyono Bali,excited,excited,excited,5,2025-05-30 08:15:01,412.15
Amalya Nur Aini,kenapa strava saya tidak bisa mengunduh peta ke gambar?,kenapa strava saya tidak bisa mengunduh peta ke gambar?,strava unduh peta gambar,3,2025-05-30 08:06:21,413.8
maul milito,fitur mudah di gunakan,fitur mudah di gunakan,fitur mudah,5,2025-05-30 07:25:38,
mursid lafaliana Nuari,mantappppl....,mantappppl....,mantappppl,5,2025-05-30 07:14:26,376.1
Hesel Pratama,face nya hilang,face nya hilang,face nya hilang,3,2025-05-30 06:10:55,405.12
Geraldy Matahurilla,"GPS ERROR, SUDAH 3 MINGGU GAJADI JADI","gps error, sudah 3 minggu gajadi jadi",gps error minggu gajadi,1,2025-05-29 16:47:39,413.8
WannnSajaaa,semoga jadi sehat aja,semoga jadi sehat aja,moga sehat aja,5,2025-05-29 15:46:22,
